State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years
   AL,310504,552339,259034,450818,1231572
   AK,52083,85640,42153,74257,198724
   AZ,515910,828669,362642,601943,1804762
   AR,202070,343207,157204,264160,754420
   CA,2704659,4499890,2159981,3853788,10604510
   CO,358280,587154,261701,466194,1464939
   CT,211637,403658,196918,325110,916955
   DE,59319,99496,47414,84464,230183
   DC,36352,50439,25225,75569,193557
   FL,1140516,1938695,925060,1607297,4782119
   GA,740521,1250460,557860,919876,2846985
   HI,87207,134025,64011,124834,356237
   ID,121746,201192,89702,147606,406247
   IL,894368,1558919,725973,1311479,3596343
