Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,0,-0.5,1,-0.5,0,0,0,0,16
   B,0,0,0,0,0.54,4.15,1,3.86,16
   C,0,-0.5,1,-0.4925,0,0,0,0,16
   D,0,0,0,0,0.175,2.2,1,6.535,16
   E,0,-0.5,1,-0.5,0,0,0,0,16
   F,0,0,0,0,0,-0.45,1,13.95,16
   G,25,24.5,1,24.5,0,0,0,0,16
   H,0,0,0,0,0,11.5,1,69.16,16
   I,8.7375,3.2175,1,0.2325,0,0,0,0,16
   J,0,0,0,0,19.1425,4.0525,1,14.485,16
   L,0,-0.5,1,-0.5,0,0,0,0,16
   M,0,0,0,0,6.855,3.64,1,10.3075,16
   N,0,-0.5,1,-0.5,0,0,0,0,16
   O,0,0,0,0,0,16.17,1,18.085,16
   P,0,-0.5,1,-0.5,0,0,0,0,16
   Q,0,0,0,0,3.02,12.345,1,20.7325,16
