Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,41.00559758,8.844629853,2,7.961657873,0,0,0,0,16
   B,0,0,0,0,47.28823054,19.78560828,2,13.69714886,16
   C,46.22934127,6.471092971,2,10.04371146,0,0,0,0,16
   D,0,0,0,0,49.39736065,18.02308959,2,12.58686454,16
   E,47.08707781,3.014694938,2,5.545286079,0,0,0,0,16
   F,0,0,0,0,53.37948483,7.473109023,2,7.78328052,16
   G,2.880283677,27.15253922,2,27.72701912,0,0,0,0,16
   H,0,0,0,0,37.4539687,26.53502318,2,25.99568328,16
   I,24.53485207,2.502782879,2,1.822404368,0,0,0,0,16
   J,0,0,0,0,32.51373588,3.286762486,2,1.688737043,16
   L,22.09788589,6.998231288,2,11.64388282,0,0,0,0,16
   M,0,0,0,0,31.69823657,8.341046741,2,10.32071669,16
   N,22.35871148,0.200992174,2,0.868432085,0,0,0,0,16
   O,0,0,0,0,23.14290515,0.28442414,2,0.397409647,16
   P,10.66346089,8.346938723,2,9.689803348,0,0,0,0,16
   Q,0,0,0,0,10.74156303,10.23229393,2,8.795557077,16
