Value,Low,Min,Avg,Max,Low,Min,Avg,Max,Out
   A,41.00559758,8.554410301,1,9.251877426,,,,,10
   B,,,,,43.95876007,23.31917859,1,11.91433609,10
   C,46.97674796,5.997984453,1,8.835041843,,,,,10
   D,,,,,49.39736065,19.2626136,1,11.19656341,10
   E,29.00552486,7.788002695,1,4.510948148,,,,,10
   F,,,,,23.48401323,6.790670822,1,6.144160128,10
   G,3.933158473,25.02815361,1,29.79852993,,,,,10
   H,,,,,42.73818185,19.25192345,1,21.70532763,10
   I,23.36811189,3.611113903,1,2.710582559,,,,,10
   J,,,,,31.58289933,4.75530391,1,4.254437468,10
   L,13.38,10.43011718,1,7.539882822,,,,,10
   M,,,,,31.69823657,18.17904674,1,48.48271669,10
   N,22.35871148,0.781055412,1,2.026833993,,,,,10
   O,,,,,23.14290515,1.426799638,1,0.700295217,10
   P,10.66346089,9.133721823,1,9.878154874,,,,,10
   Q,,,,,10.83712066,12.55930451,1,7.770834847,10
