Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,31.36065741,18.61894765,2,15.7300737,0,0,0,0,16
   B,0,0,0,0,59.73913587,13.80166835,2,10.98543281,16
   C,45.59171411,9.623524022,2,16.89485718,0,0,0,0,16
   D,0,0,0,0,59.30225294,15.85702224,2,11.97081261,16
   E,49.40404929,4.79694915,2,10.9561219,0,0,0,0,16
   F,0,0,0,0,60.75236458,8.274479926,2,8.055373464,16
   G,9.416550073,25.1788419,2,26.29665673,0,0,0,0,16
   H,0,0,0,0,44.38814022,33.13191692,2,20.47946189,16
   I,26.59216195,3.716290643,2,4.49151932,0,0,0,0,16
   J,0,0,0,0,39.02497846,3.700255448,2,8.699856504,16
   L,26.7,9.816812281,2,20.09318772,0,0,0,0,16
   M,0,0,0,0,30.06227467,14.71266705,2,34.67505828,16
   N,6.832228654,11.16012625,2,10.96449749,0,0,0,0,16
   O,0,0,0,0,8.389535996,16.64946723,2,19.00057461,16
   P,9.300544989,12.71678599,2,14.26681102,0,0,0,0,16
   Q,0,0,0,0,11.85513393,15.59886202,2,11.60263523,16
