2015 Observed,2030 Baseline,2030 Extended Policies,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Extended Policies,2050 Net Zero,2050 Net Zero Mandates
17.973,21.428,23.6675,25.5255,25.1808,25.7679,32.0332,35.1265,36.8618
17.385,21.3352,23.7316,25.6803,25.343,25.5416,32.0031,35.2858,37.0246
16.808,20.4625,22.8323,24.888,24.5169,25.0293,31.6695,35.1436,36.9045
16.124,19.5768,22.0136,24.1841,23.7947,24.2536,31.0879,34.7742,36.508
15.518,19.1111,21.6867,24.1235,23.6657,23.7203,30.9404,35.1088,36.7068
14.931,18.951,21.5952,23.9941,23.5717,23.5951,30.8606,34.9925,36.7557
14.425,18.8404,21.3627,23.5905,23.1836,23.3609,30.3007,34.1079,35.8433
14.027,18.7119,21.1968,23.3797,22.9735,23.1257,29.9637,33.6729,35.3703
13.742,18.7722,21.1948,23.3073,22.9189,22.9545,29.6454,33.2144,34.8618
13.644,18.9224,21.2859,23.3206,22.9507,22.9548,29.4779,32.8957,34.503
13.761,19.6234,21.9428,23.9144,23.5603,23.4247,29.8224,33.0852,34.643
14.026,20.2821,22.5785,24.5116,24.1704,23.9228,30.2584,33.4217,34.9587
14.303,20.8767,23.1803,25.0957,24.7486,24.6573,30.9834,34.1058,35.6784
14.458,21.6703,23.7804,25.2559,24.9311,24.7449,30.1703,32.3015,33.5745
14.958,21.666,23.6987,25.0319,24.7127,24.8227,29.9196,31.7696,32.9997
15.3,21.477,23.4766,24.7434,24.421,24.6646,29.57,31.2677,32.433
15.605,21.1154,23.1157,24.376,24.0493,24.2949,29.1202,30.7712,31.8656
15.881,20.8865,22.8478,24.1107,23.7776,24.0056,28.8123,30.4498,31.5165
15.997,20.8512,22.7517,24.0047,23.6729,23.9177,28.6878,30.3138,31.3727
16.04,20.8767,22.7231,23.9732,23.6422,23.9275,28.6775,30.3101,31.3745
16.101,20.8014,22.6111,23.8582,23.5366,23.8274,28.5479,30.2013,31.2743
16.687,20.7174,22.6945,24.2999,23.9674,24.6742,30.1406,32.6596,34.0913
17.869,20.697,22.7077,24.345,24.0182,24.7923,30.326,32.9379,34.4367
17.728,20.6869,22.7667,24.5112,24.1801,24.9252,30.6604,33.4967,35.0548
17.425,20.6438,22.7858,24.6425,24.2986,24.9281,30.866,33.9118,35.4879
16.958,20.6515,22.7487,24.708,24.3526,24.8055,30.9203,34.1518,35.7233
16.393,19.8679,22.1231,24.1774,23.8061,24.3711,30.645,34.0638,35.6488
15.624,19.2181,21.5374,23.7073,23.3178,23.8382,30.2922,33.9214,35.4752
14.788,18.9159,21.3701,23.7707,23.349,23.4716,30.3073,34.3455,35.8419
14.096,18.8424,21.4542,23.8155,23.389,23.616,30.274,34.2509,35.7362
13.682,18.6958,21.1969,23.386,22.9755,23.367,29.7074,33.3648,34.8375
13.449,18.5334,21.019,23.1639,22.7551,23.1341,29.3898,32.9587,34.4143
13.374,18.6046,21.0593,23.1349,22.7454,23.0245,29.1514,32.5907,34.019
13.457,18.7412,21.1857,23.1855,22.8165,23.0845,29.0859,32.3943,33.8257
13.897,19.3791,21.8547,23.7944,23.4439,23.598,29.5382,32.7215,34.1679
14.763,20.1053,22.5826,24.4875,24.152,24.1998,30.1688,33.2903,34.7988
15.607,21.2625,23.291,25.0637,24.7563,24.7647,30.8791,34.0161,35.6891
16.061,21.7958,23.9449,25.5663,25.2634,24.8248,30.1414,32.3362,33.8242
16.209,21.5743,23.5685,24.9049,24.6128,24.8169,29.7478,31.6374,33.0292
16.052,21.4886,23.2511,24.5636,24.2507,24.6651,29.4152,31.1477,32.4671
16.075,21.3343,22.9964,24.3018,23.9818,24.322,29.0198,30.7045,31.9506
16.042,21.2011,22.7935,24.1013,23.7737,24.0677,28.7409,30.4016,31.5923
15.918,21.112,22.6602,23.9593,23.6325,23.9395,28.58,30.2255,31.3933
16.026,21.0584,22.609,23.9081,23.5819,23.9452,28.5843,30.24,31.4132
16.356,20.9443,22.5387,23.8389,23.5219,23.92,28.5583,30.2437,31.4361
17.269,20.898,22.6367,24.0349,23.7035,24.5855,29.9832,32.5305,34.0637
18.707,20.6416,22.7476,24.3818,24.0566,25.0468,30.5812,33.2504,34.9091
18.629,20.9615,23.1143,24.7512,24.4214,25.3684,31.1739,34.0927,35.8633
18.436,21.0698,23.3508,25.0303,24.7221,25.4197,31.4541,34.5737,36.3842
18.243,21.14,23.5447,25.4273,25.0962,25.4135,31.6671,34.9824,36.8166
17.718,20.0685,22.7264,24.7666,24.3981,25.1054,31.5479,35.0555,36.9205
16.837,19.4754,22.1975,24.3512,23.9646,24.6218,31.2705,34.9922,36.8438
15.824,19.2223,22.0777,24.4579,24.0394,24.2958,31.366,35.5035,37.3329
15.063,15.6757,17.8374,19.7662,19.4662,19.311,24.6904,28.31,29.874
14.449,15.559,17.4133,19.069,18.798,19.0948,24.1683,27.0651,28.7457
14.097,15.416,17.2343,18.6692,18.447,18.8748,23.8551,26.6881,28.3556
13.862,15.3905,17.1638,18.5457,18.3339,18.6973,23.543,26.2671,27.8804
13.822,15.3643,17.0954,18.4191,18.2183,18.5771,23.2633,25.8665,27.4227
14.023,15.6049,17.2968,18.5615,18.3814,18.6878,23.203,25.6874,27.185
14.471,15.9082,17.6226,18.7861,18.6462,18.8714,23.261,25.6652,27.1258
15.146,16.4217,18.136,19.2577,19.1539,19.2561,23.5937,25.9811,27.4717
15.719,16.8086,18.4724,19.4677,19.4102,19.1693,22.848,24.7999,25.9649
16.374,16.751,18.1514,18.9514,18.9169,19.098,22.2805,23.8081,25.0073
16.986,16.7346,17.7824,18.4894,18.4623,18.9012,21.9637,23.39,24.542
17.334,16.5155,17.3407,18.0309,17.9867,18.6432,21.6542,23.0356,24.1188
17.551,16.3392,17.0469,17.7457,17.6773,18.5962,21.5802,22.9372,23.9731
17.604,16.3913,17.1822,17.8778,17.8032,18.7184,21.6843,23.023,24.0329
17.524,16.6191,17.4123,18.1103,18.0295,18.9697,21.9344,23.2721,24.276
17.585,16.7102,17.6034,18.3278,18.2402,19.172,22.1389,23.4882,24.4945
18.356,16.9372,18.0977,19.0902,18.9554,19.6855,23.3853,25.3004,26.5485
19.295,17.1041,18.2891,19.3072,19.1709,19.8546,23.6082,25.581,26.8693
19.024,17.2377,18.4799,19.5738,19.43,19.9994,23.8967,26.0172,27.3393
18.479,17.0819,18.3668,19.5273,19.3727,19.8345,23.8479,26.0818,27.397
