1,2,3,4,5,6,7,8,9,10
20.2,88.3,26,6.3,47.7,114,253.3,170,53.5,-224.6
3.5,123.2,27.2,71,3.2,26.5,7,28.4,142.4,150.7
1.6,5.1,99.3,12.8,134.1,57.2,113.4,158.9,52.2,197.4
28.8,38.9,49.4,-90.1,-37.6,13.2,146.5,201.9,103,134.1
-40.4,34.2,-7.3,55.6,31.8,-16.6,148.5,343.7,95.4,137
7.5,21.7,-1.5,49.9,-26.1,10.9,161.1,174.1,213.7,284.6
-31.1,83.9,201.2,66.9,29.9,147.1,31,159,126.8,233.1
-2,17.5,48,47.6,30.5,-8.2,151.5,104.5,9.9,-159.1
-1.9,8.8,14.6,104.2,51.9,123.7,44.8,107,340.1,216.7
-2,-52.7,43.4,68.6,40.4,41.2,52.4,50.4,162.5,173.1
20.4,17.9,23.7,26.3,169.4,39.9,88.2,100.2,195.5,97
10.8,36.8,35.4,18.3,-0.3,52.3,129.4,67.4,-107,138.4
79.8,21,57.3,14.2,88.6,98.1,76.1,38,113.9,258
27.4,85.7,35.1,28.5,52,81,-93.8,16.9,225.7,-13.1
32.7,2.1,25,32.8,37.4,44.3,97.3,168.8,101.9,43.7
0.3,-13.5,139.3,14.4,28.9,18.9,174.1,25.4,62.6,72.2
-2,79.5,52.3,22.4,87.3,101.6,33.2,134.3,119.5,142.8
84.6,27.3,25.8,83.4,115.2,44,45.2,53.9,208.4,344.3
-13.7,70.4,47.4,-1.3,67,152.8,128.4,8.8,-83.9,250
9.3,64.2,81.2,91,-24.7,46.6,62.8,260,90.1,162.9
78.5,31.5,42.3,3.9,13.8,28.1,97.2,251.6,156.7,73.7
17.3,49,-87.3,241.3,36.8,48.1,194.3,97.3,70.1,250.5
18.8,-56.9,144.5,25.1,109.4,176.8,152.6,230.3,281.4,269.8
65.5,73.9,-50.7,246.2,88.7,54.8,-46.1,-20.1,96.2,202.5
-1.9,4.6,31.9,33.6,-19.7,210.3,139.8,71.2,79,218.4
-2,67.5,132.9,149.8,164.9,111.7,132.1,155.9,109.6,401.6
32.8,56.7,66.4,30.4,199.7,48.7,242.8,89.4,253.8,57.5
62.2,0.8,-38,16.4,83.6,51.2,86.4,151,188.3,134.4
35.9,165.2,38.3,-17,38.3,40.7,91,65.3,218.4,211.9
7,-160.8,24.7,138.5,71,32.7,57.8,57.6,46.8,-63.9
16.7,139.7,34,40.7,60.3,168.2,73.9,205.1,241.8,244.7
51.4,34,75.4,146.7,133.7,98.8,256.8,237.9,199.3,7.5
88.8,27.4,36.9,132.2,48.4,139.9,54.8,160.3,130.1,127.3
142.2,75.2,68.3,48,58.8,80.5,56.4,-98.9,33.4,-70.8
150.1,49,41.7,66.1,103.8,213.1,133,49.9,126.8,312.7
-32.6,-19.3,63.2,69,159.1,21.4,57.3,116.8,239.4,129.2
-41.6,182.3,29.8,27.3,148.2,-72.7,68.5,80.5,150.4,181.5
-2,65.6,147.7,90,66.2,29.7,323.7,186.9,-23,91.1
-54.2,144.3,21.5,40.5,18.9,107,235,-78.7,185,136.8
57.1,56.3,96.6,141.4,-11.5,138.7,152.8,52.8,70.9,156.8
130.4,221.6,149.5,93.3,123.1,189,61.3,78.2,-75.8,169.1
-10.5,35.6,112.7,78.8,188.6,39.4,128.3,133.4,231.4,91.4
1.9,319.3,81.8,145.4,34.9,125.1,135.1,300.3,118.9,120.8
164.4,69.5,248.3,50.7,116.8,68.2,95.2,190.5,119.4,161.5
43.7,82.1,82,67.1,178.9,144.2,45.2,-0.6,219,314.1
79.6,152.8,37.1,89.7,61.2,73.4,122.7,91.4,189.4,155.6
197.3,173.3,64.7,169.7,22.8,-50.2,112,140.6,149.2,186.9
175.5,138.4,183.2,49.1,143.1,132.8,155.2,272.6,41.4,183.2
6.2,76.2,151.4,41.2,96.5,292.7,-16.9,129,167.3,380.8
54.9,46.5,93.7,-115.3,262.9,202.1,120.1,89.8,155.2,246.3
64.7,166.6,107.2,39.6,112.5,178.9,150.3,78.2,163,167
2.3,211.6,100.5,15.7,131.8,38.1,140.7,115,85,12.3
0.2,142.5,56.9,-63.2,135.6,41.6,29.8,1.4,54.8,79.3
91.8,91.2,135.5,125,78.1,-285.8,149.6,195.5,114.8,115.5
46.9,-210.1,-14.7,248.4,91.4,269.2,250.9,146.7,201.5,214.6
13.6,188.6,-150.2,140,299.2,336.5,129,100.9,123.7,76.5
123.2,-33.1,59.7,147.2,181.5,142.8,107.1,111.2,181.3,265.3
233.8,85.5,68.4,267.8,215.5,33.6,96.8,150,148.3,65.3
36.7,-23.1,59.9,75.8,255.8,55.8,136.2,138.3,120.9,158.7
80.5,115.8,65,151.8,106.4,54.2,174.9,139.3,208.8,156.8
159.7,146.4,76.7,20.2,57.3,96.5,265.7,15.8,81.7,164.8
51.1,96.1,139.3,172.5,84.7,147.8,42.4,254.3,167,272.8
12.8,153,155.6,141.3,138.6,51.3,109.8,177.6,1.8,229.3
221.8,58.4,214,193.2,232.8,100,148,157.3,152.8,289.7
