ic-1,ic-2,ic-3,ic-4,ic-5
5376.4,9613.6,4422.9,8845.3,6112.9
4190.7,2109.8,11428.4,15578.6,7200.7
10620,3957.2,4542.1,7459,5684.7
23197,4426.9,4464.4,11197.1,32822.9
3189.9,4547.7,7973.9,24679.8,1132
183.3,1015,16898.4,10216,2162.3
6597.3,5685.7,17192.3,3876.7,3164.4
818.6,12683.9,7127.5,7108.8,14654.3
4422,157.9,2947.5,5081.7,7132.8
3366.5,1300.9,6257.2,20542.4,659.7
170.1,5254.7,5103.3,10496.1,5781.3
1740.1,1263.3,8063.3,3158.1,4782.1
10416.8,14955,12248,8716.5,18022.9
4421.4,5414,3824.1,10382.2,14487.9
73.3,12207.6,10075.9,5834.9,5742.3
1444.3,23045.6,14740.2,7096.8,20151.3
5214.7,3936.2,21879.4,1099.5,6472.9
4105.6,4082.7,21808.8,0,15672.9
1340.1,16199.9,32310.1,10071.8,11283.2
8106.8,1380.1,6761.9,9553.8,5967.8
1099.5,8235.3,425.4,2638.9,5715.1
7557.8,5674.2,5983.9,1515.9,13264.2
3402.9,4021.9,14969.8,8098,5950.6
1894.9,1701.1,1701.1,9320.7,23978.9
4398.2,5484.5,7579.6,17901.3,8900
12828.1,6597.3,11244.2,13403.8,4859.3
10908.2,4860.4,3789.8,8144.7,33547.7
3691.3,850.6,1212.7,4926.7,4433.8
3789.8,1883.5,9251.7,14055.8,387.6
522,4737.2,6728,10473.1,6839.6
359.4,2381.6,16261,4105.6,12112.1
2566.7,4211.6,3352.7,7782.4,9973.1
11298.8,11250.8,1306.6,9594.6,5103.3
13257.2,3169,23635.7,2747.7,7915.8
2791.4,8655.9,7705.9,4013.7,7142.8
10.6,8171.3,13001.1,2580.3,9989.1
2763.9,2526.5,4082.7,6885.4,5365
3092.7,7579.6,10262.2,9661.5,9422.6
2265.5,3783.1,10644.5,5041.1,6237.3
2526.5,2292.7,13969.6,10925.7,2649.1
340.2,7330.3,10617.4,9807.9,15903.3
3781.5,1645.6,2842.3,12964.1,8569
2210.7,3443.9,4082.7,9981.5,4899.2
10122.7,4140.4,7049.3,10928.3,4426.7
2813.9,1832.6,16832,10278.4,13953.8
1353.9,6381.3,3038.9,9913.4,12229.9
138.1,26978.8,5426.1,6000.5,4547.7
3711.7,7930.1,3078.7,6901.1,8865.5
1099.5,5919.9,24974,14123.7,13514.2
13565.7,879.6,505.8,25638.4,21642.3
10549.1,3358.1,2963.5,8583.2,1263.3
6314.2,11218.1,3553.6,19737.4,5184.1
6526.4,8796.4,20497.1,14013.2,14860
263.9,5436.9,3938.1,4046.9,10543.2
4737.2,7579.5,2565.6,4374.2,14870.8
2879.8,6110,5680.1,16330.7,3391
1020.7,5398.3,6947.9,5548.2,7351.1
11567.6,1466.1,17539.4,15762.5,9322.1
2491.3,5084.4,10737.7,31446.6,7507.8
6124,73.5,4660.1,20294.4,12127.3
4629.7,5684.7,1466.1,12531.4,9640.7
546,19772.8,8498.6,4853.5,21738
4909.7,4490.9,17635.8,3506.2,11174.7
13432.3,2142.7,2729.8,6144.6,4820.7
255.2,13269.6,9651,3600.3,13833.3
2857.9,2803.2,5738.9,8587.4,7449.8
2829.9,1466.1,7579.6,2369,25610.9
4507.1,4185.8,22166,3316.7,9745
3801.2,8972.2,3158.7,10169.4,8096.8
439.8,4631.4,7468.1,9913.6,12826.2
6234.3,4639.4,189.5,24621.3,9827.6
1749.3,4094.3,19574.5,4244.5,5618.3
11781,5593.3,10456.4,20426.7,6049.7
3789.8,10575.8,9158.4,15306.6,5716.4
12385.4,5337.9,1894.9,1725.7,8505.6
2847,15691.7,18552,9158.6,6424.3
6169.2,12167.2,4938.3,5631.6,3386.3
8260.6,5330.4,7082.9,11574.2,10590.6
1020.7,425.4,3397.5,6776.2,5211
2841.5,5631.3,12672.6,6947.9,9526.2
2932.1,7192,6804.4,5486.2,504.8
1579.4,5730.6,6074.9,21352.1,10461.8
640.8,3985.4,3906.3,11253.7,4722.8
1720.6,2735,1314.6,5874.2,16596.6
6847.4,5458.6,2041.3,2381.6,24934.1
2295.7,5928.7,4105.6,7055.9,22497.3
2422,340.2,10760.6,4195.5,13364.5
4.3,710.7,5656.2,5466.5,3198.7
4263.2,340.2,4927.3,7242,3298.6
765.6,3126.7,5356.7,9092.4,12268.1
3412.5,2754.8,5988.3,1727.7,11343.2
4932,4440.7,7833.4,21849.7,1974.2
1893.8,7391.5,13539.8,6063.6,6442.6
5751.4,7586.9,1975.1,2748.9,16275.1
2118.6,8505.6,8160.9,19477.5,5783.8
2842.9,4189.2,27066.7,1157.9,5420.6
4398.2,264.6,6063.6,14680.1,2867.8
3789.8,3663.4,2652.8,16553.5,7074.2
61.2,1701.1,5368.8,1855.1,9822.5
2721.8,4293.4,274.5,1410.7,10943
9737,9700.8,1157.4,10255.5,3789.8
394.8,1832.6,3928.8,12682.9,8745.1
3351.2,4738.1,12096.5,978.1,7579.6
4223.1,2197.8,7463.1,9050.5,15616.8
331.2,4398.2,17976.3,9865.6,4605.6
1759.3,2808,17292,7415.8,11808.7
6190.6,1832.6,5047.9,7944.1,14481
4422.9,4428.8,5368.8,20165.7,11865.9
