ic-1,ic-2,ic-3,ic-4,ic-5
15,25.1,13,14.9,17
11.9,6.2,29.2,38,20.7
24.6,10.4,14,23,18
50,13,9,30,93.9
8,12,20.6,52.2,2.1
0.5,5.2,44.5,21.7,6.5
15,12,45,8.5,7.4
2.2,25,17.3,19.4,38.7
14,0.5,9.3,13.9,18.6
5.4,4.1,13.2,54,1.8
0.5,14.3,15,18.8,16.3
3,4,22,10,14.8
18,38,30,25,47.1
14,17.1,10.4,26.4,38.2
0.2,31,21.3,18,16
2.5,43,32.2,20.9,46.9
14,11,51.6,3,17.2
13,12,42.2,0,37.3
5,34,62,22.9,31
14.9,3.5,15,35,14
3,22.9,1,6,17.6
20.6,17.1,12,4,35
8,11,44,18.8,16.5
5,5,5,24.6,49.2
12,16.6,24,39.1,25
35,18,29,30,15
21.6,12.8,12,20,90.9
7.9,2.5,3.8,15.6,9
10,4,26.4,30,1.1
0.9,15,16.5,27,17.6
1.1,7,30.7,13,35.2
7.5,10.7,9,24,35.8
23.9,28.7,3.8,26.9,15
31,7.2,63.3,8.3,24.5
6.5,22.8,22,11,16
0,23.3,38.2,5.2,23.2
7,8,10,18.7,17
7.5,20,19.6,22.6,25.5
6.3,9.9,23,11.2,17.8
8,7.3,29.8,22.8,7.7
1,20,24.5,25.5,47.4
9.5,3.3,9,25.5,27.1
7,10.9,12,30,12
21.8,10.5,22.2,29.4,12.1
8.3,5,35,31,40.6
3.4,16.4,8,28.2,24.1
0.4,69.3,14.2,19,12
7.4,18,7,20.1,23
3,14.5,49.3,41.5,34.8
37.5,2,1.5,63,52.1
28.1,5,6,21.8,4
18.6,20,9,52.6,13.2
14.2,24,45.7,34.4,36
0.6,14.8,11.6,9,27.3
15,20,7,13.5,43
6.2,19,15.6,42,9.8
3,15.9,20,17.3,21.6
34,4,35.8,48.6,24
5.7,13.4,34,64,23
18,0.2,13,41.2,32
8,15,4,28.3,21.5
1.4,46.2,20.3,14.8,52.3
8.5,11,35.9,11.1,30
20,4.5,7,14.9,15.3
0.6,30,30.6,9.5,38.4
7,16,15.7,24,19.1
5.7,4,24,6,60
9.1,9.5,44.7,15,20.8
10.4,20.4,8,29.4,23.3
1,13,19.3,26.9,24.1
10,10,0.5,55.8,24.5
5.6,11.8,45.7,11.8,14.9
28.1,14.6,28,42.6,17.4
12,27,22.4,36.3,17.2
24.1,14.1,6,5.4,25
8.4,34,40.8,26,18
11.8,28,10,11.3,10
25.8,22.1,17.1,20,26.8
3,1,9,14.5,14
7.8,14.6,30.7,22,26
8,20,20,10,1.3
4,13,16.9,48.1,28
2,11.7,11,26.5,13.2
4.7,4.7,4.2,17,39.1
11.5,14.1,6,7,66.3
7.3,18,13,20,51.3
6.1,1,26.8,9,35
0,1.8,15.5,17.1,8
10.8,1,15.6,27.4,9
1.8,7.9,16.7,20,36.8
6.8,6,19,5.1,22.8
13.5,10.1,22,34.5,5
3.8,18,27.7,16,20
9.9,14.2,6.3,7.5,36.9
5.4,25,23.5,56.7,17
6,10,60.1,3.2,14.3
10,0.7,19.2,27.3,4.6
12,11.6,7,39.2,20
0.1,5,17,5.3,29.3
8,8,0.8,4.1,25.2
15,19.9,2,25.2,10
1,5,12.4,35,22.5
8.2,10,36.7,3.1,24
11.9,6.5,23.6,22.5,28.7
1,12,34.3,22.4,13.5
4,8.3,45,20.4,30
16,5,10.1,18.5,36
13,9.6,18,57,33.1
8.3,54.9,5,18,16
3,8,25.7,33.5,7.5
24,15,21.6,13.6,24
17,54.9,6.7,0.3,22.5
6.5,28,27.9,53.7,88.8
1,19,4.5,45,53.7
11.4,9.5,6.1,110.9,33
11.5,15,30.3,30,17.4
2,60.6,28.2,43.2,29.1
8,17,16,25,27
28.5,7.2,15,14.9,30.5
10,20,9.3,19.1,25
3.3,32.8,30.1,4.6,17.4
3,20.7,22.4,16.5,18.5
1.4,25.3,40.5,15,10
4,80.3,8,1.1,65
225.3,11.4,7,25.3,41.8
8.8,8,6,16.1,8
0.3,23,36,19.4,30.3
7.7,10,15,17.1,31
22.3,65.2,76.1,32.8,7.3
15,37.1,12,12,0
2.8,21.9,19.2,43.6,32.1
104.9,47,15,10.6,18.1
6,23.2,51.9,18.2,62.6
10,42,11,72,25.8
38.3,10,2,39.4,24.5
56.5,68,30,18.5,15
0.3,19.8,13,29.5,37.5
7.5,14.4,23,43.9,30.5
9,10.5,8,16,9.8
200,25.1,80.6,13.5,28
34.3,8.2,12,17.2,38.7
24,7,15.4,10,79.8
3,5,29,37,49.4
6,11,27.8,37.6,23.3
24.8,14,10,12.5,34.1
2.6,20,0.3,2,12
5.2,3.9,17.3,14.3,4.7
2.5,6,24.3,28.8,0
24.8,14.7,7.5,12,48.5
2,1.5,4,4,6.5
30,11,8,20.5,19
5,13.7,19,72.1,27
14.4,18,19.8,17,5
5.9,0.3,11.1,16,13
29.3,6,12,13,23.8
1.1,47,40.5,67,21
10,9,0.1,22,28
8.9,39,106,2,14
10,6,7,18.3,20.7
7.5,10,5.4,15,15
1.5,0.5,36.3,33,15.7
18,20,13.5,16.2,18
11,13.3,16,33,13
9.7,20,12,53.3,50.7
28.8,6,15,22.5,27.4
75,45,16.4,17.4,31.6
17.1,6.5,12.2,13,11.6
5,15,32,19.3,16
12.2,22.1,6.2,49.9,16.7
6.1,10,41,23,20.1
7.5,9.5,5,15,55
21.7,0.2,11.3,7.7,35
3.5,1.2,37,9.1,10
6,6.1,6.5,33,12.1
52.3,12.7,22,16.6,8.5
33.8,4.3,33.6,38.6,35
5,15.1,218,24.4,8
0.7,5.4,8.3,18.6,63.8
12,12,3,11,26.6
4,20,4,65.4,34
3,4,18,26.9,93.1
13.2,12,31.9,18.5,44.4
3,6.5,21.5,32,18.8
2.7,4,32,54,23.2
12.6,4,10,20,18.5
12,26.4,11.1,135.8,21.5
7,23.4,19.9,34.2,45
3.5,15,8,17,29.2
200,4.8,11.8,22.8,10.7
11.4,5.1,18,41.5,6.1
200,10,4.2,10,31
326.4,6,3,33,41.8
32.7,26.5,30.4,9,0.6
0.2,4,2.5,18,66.9
25.1,8,9.5,10,11
1.7,7,4.7,21.3,10
0.8,13.9,17.6,19.4,19.9
3,5,34,26.5,73.9
1.2,30,14.5,10,40.6
17.6,151.4,227.6,22.6,31.8
12,12.8,9.5,43.9,34.5
6.4,8.7,6.7,26,3
3,11.2,8.1,30,10
2,28,15,18,20
4.3,8,30.9,29.5,30.3
4,213.4,45,19,8
2,15,15.2,11.3,23.8
50,7,37.3,2.4,8
11,27.7,36,25.2,4
5,2.5,15.5,6,2.5
2.5,6,15.1,10,8.4
13.3,3,26.2,16.6,19.7
5.3,10.5,25.4,11.5,28
2,20,53,33.4,33
125,37.3,10,20,1.2
8,18,15,7,39
2.9,17.1,24.4,47.5,8
5.2,3.5,27,20.2,13
23.5,43.6,10.2,170,14
14.3,27,9.8,16.6,24
5.1,8,16.5,24,10
2.5,8,4.1,27,42.6
21.7,35.3,15,58.2,87.9
15.7,4.4,17,28.6,31.3
17.9,14,12,14,15
8.5,33,7,12.5,14
18,6.7,7.2,55.3,1.2
2.5,5.8,12.3,16.7,40
33.3,4,9.7,35.2,55
0.2,8,19.6,9.3,57
4.9,10.5,19.6,63,8.2
4,12,21,42.4,21.7
4,50,13,20,19
1,7,8.5,12.4,20.3
5.3,23,28,60.9,57
1.5,68.3,15.9,21.8,38
9,36.5,10,35.3,21.7
21.8,7,9,62.7,35.5
6,5.9,10.2,23.6,21.9
2.5,20.8,25,21,67.9
4.7,21.3,18.2,5.7,10
5,6,14,17.2,12
40.2,9.8,22,4.3,13.1
5.6,36.3,12,24,8
1.2,27.3,14,16,8.5
8.2,35,45.8,11.6,15.7
2.4,12,18,10.9,9.8
52.9,20,7.9,19.9,22
5.7,16,3,20.5,15.2
1.7,10,24.5,14,32.7
0.5,55.9,2.5,17,23
6,13.1,70.2,8.5,33
6.5,18.2,3.1,10,27.5
80,27.2,8,35.4,4
1,13,19.2,20,24
1.2,15.8,15,22,55
8.1,45,16.6,11.8,39.5
7.8,23.5,15,25,38.9
13,14.4,14.2,32.9,29
53.9,10.6,17.9,8.9,40
15,0.6,10.9,43,9.5
44,8.9,30,10,2
12,5,13,30.5,29.9
1.8,7.5,10.6,8.1,45
7.2,9.1,4.1,36.1,15
6.8,11,9.5,47,50
10.3,0,28.9,17,22
6,7.3,39,20,20.7
9.5,42.5,19,68.6,29
14.1,17,39.9,23.2,10.4
12,6.4,33,55.6,30
8,24.8,8.5,24.4,300
13.4,8,22,32,37.5
13.3,18.4,22,41,35.1
11.5,9,55.6,38,31.4
27.2,20,27.8,5,32
0.7,15,14,40.5,7
4.9,15.7,16.5,40.3,13
5.2,3.6,19,22,10
2,221.6,20,3.5,11.3
0.1,7.7,25,11.7,13.4
70.1,7,10.8,51.3,15.3
20.9,13,31,5.3,5.2
16.8,3.3,12.5,41.5,29.4
5,13,34,32,33
2.8,12.1,27.2,14.4,45.1
9.9,14.7,20.5,26.7,26
0.1,8,22.9,10,17
1.5,3,14,30,2.5
5,6.6,16.5,25,27
30.3,27.9,12,15.5,10.5
14,7.5,12.1,11.2,28.7
25.2,20.5,10,36,10
5,33,3,13,32.9
9.3,25,51.5,6.8,27.3
1,9.8,21.6,19.7,16
3.5,30,42.5,14.2,24
1.2,38.8,30,38.1,20
2,17.5,21,21,45
1.2,12,4.5,20,5.8
1,5,14,35.5,23
25.9,8.2,9,8.9,22
4.3,13.6,12.3,33.2,26.5
24,19.5,25.9,23,28
59,89.2,21.5,25,65.7
0.5,4.5,18.1,32,27.8
25,0.8,10.8,12,21.1
5,9,0.2,20,10
15.1,28.2,12.9,26.6,6.7
12,10,0.1,11,36.4
1,66.8,15,17.6,12
13.4,5,9,5,6
8.1,3.9,7.3,14,18
10,4.5,22.2,3.5,33.9
5,20.6,25,16.3,14
8.1,12,18.4,7.2,21
0.2,15,6.5,17,8
4.5,2,25,18.8,14.2
65,5,10,12,10
1.3,6,12.2,33.2,45
6,3.2,28.9,96.4,22.6
13.5,18,15.8,34,25
9,8.5,11.6,27,23.7
13.6,9.3,27,31.5,7
1.9,7,1.5,87.2,3.9
8,10,28.3,27.1,6
31.2,10,20,29.3,32
5,21.6,9,38.5,45
10.1,8,7,21,26.5
2,18.4,32,16,17
15,8.5,15,34,15.5
15,21,28,12,35.4
0.6,7.4,23.6,35.3,20.2
39.4,1.2,18.9,41.8,18.6
20.7,20.6,16.7,56,14
7,8.3,4.5,33.2,6.3
7.8,10,25.9,79.5,46.9
12,11.5,31.2,21.3,18.5
35,12,50,14,5.8
31.5,22,14,12,8
1.5,15,37.5,34,27
15.3,16,9.1,35.5,33
6,23.3,15,24.6,4
2,12,25,20,14.5
7.8,4,20,21,32
14.3,23.4,27,15.2,7
2.9,18,31.8,24,30.1
57.3,1.2,9.6,8.2,11
3,17.2,25,15,20.9
31.5,1.2,22.8,55.9,31.9
32.9,0.2,2.5,14.6,16
23,108.5,8,20.5,43.6
30.4,39.8,0.6,6,15.5
12,16.9,40,7.5,8
12.5,2.1,2.9,32.2,55.6
7.5,10,116.8,47.7,5.1
13.1,36.1,12,12,21
3.5,5.9,7.4,14.4,4
21,10,20,8,8
5,7,6,10.6,20
10,77.3,37,12.5,13.6
20,2,20,3.5,14.6
30,0.5,10,14,36.3
30,3,15,10,20
30,18.7,7.6,50,16.8
20,7.8,3.5,28,17.9
16,30.3,11,24,22.9
2.4,1.7,12,26,10
2.7,30.5,19.1,7.4,26
6,14.7,23.3,38,101.8
2.1,6.5,22,10,4.5
2.6,25,26,21,49
14.4,4,19.6,20,15.2
9.4,18,13.3,9,51
11.7,10,18.7,21.7,48.7
20.7,13,5.1,26.4,6.5
17.5,28,6,35.3,20
24,4.8,17,22.1,17
26.1,10.5,8,17.7,36
17.6,3.5,2,22.3,13.6
7,7,56.7,13.1,8
4,10.6,46.8,10,28.9
10.4,12,6,71.5,6.5
85.4,10.1,16.5,12.6,80
0,12,7,41.3,18.8
4.3,5,45,17.5,24
0.2,25,1.2,10,6
9.9,42.9,20,8,14
3,10,14.6,70.2,24
0.7,21.1,5.8,18.5,22.4
4.7,11,18,39,18.1
15.3,0.6,28.4,2,1
12,18.3,43,33,11.7
19.9,8.9,6,10.5,25
8.5,12,28,19.2,23.9
12,1.5,3,11.1,6
8.7,5,10.7,49.3,1
3.2,5,12,27,32
1.5,25,12.8,10.3,57
10,8,10,19.4,25
10,14.1,11,54.3,21.1
10,57,47.1,28.3,7.5
12,65,29.4,36.2,30
13.3,11.5,33.2,8,22
24,3,12,21.3,33.8
8.7,26.2,16.1,55.3,39
0.2,13,12,17,11
4,15,78.2,18,8.7
1,10,8.1,29.2,29.1
0.9,27,0.6,22.4,15.6
1.2,6,12,26.6,10.8
7,13,26.5,16.9,36
14.4,5,11.2,15,46.1
50.5,14,70,33.5,23.3
8,16.3,48.2,35.6,50
14.9,6.3,11,27.7,17.5
0.7,0,20,22,14.9
6.7,28,22,1.3,11
27,19,12.7,36.8,25
6,6,13.5,15,22
2.5,19.2,12.9,4,15
9,21.5,21,22.9,21.2
8,12,16,23.5,24
15.6,41.3,18.4,20.2,8.5
5,6,3,16,3
11,15,6,34.5,26
12,10.6,17.6,8.5,17.2
2.3,2.8,14.1,47,22
12.1,43.2,16,11.9,26.5
10.8,13.8,23,34,27
9.1,10.5,4.9,32.3,11
3,18,28.2,13.4,26.9
1,4.7,9.5,14.1,14.1
2.2,7.7,25,17.6,35
85.1,1,21,29.9,13
4,8.6,35,11.7,0.6
17.4,18.7,22,30.5,19.4
11.5,8.2,22,9.7,26.8
12,1.5,52,15,34.2
14.6,35,5,9.6,85.4
18,10,11.2,0.9,22.6
1.2,21.4,14,6.7,29.4
62,15.4,24,10,41
0.4,18.8,5.2,25,22
84.2,10,6,30,26
5,20,5.2,11.7,15.3
8.2,206.2,7,11.1,18.8
14.5,8,28.7,29,33
7.9,6,16,2.5,28.7
11,12,6,45,28.6
18,6.4,22,6.1,11.8
14.5,11.8,2,19.2,32.5
6,25.2,12,24,27
24,22,36,39.8,10.6
20.6,2.5,15.1,11.1,32.1
3.6,26,13.8,6.5,6
36.5,10,26.1,14,20
40,10,3.8,6,15
6.7,34,31,34,13.8
1,10,13,11,34.1
6.6,12.1,56,15,16
4,1.4,23.7,5.5,28.5
28,11.8,32.5,75.5,24.5
6,12,25,15,8.7
16,21.2,14,9,12
2.3,6.9,18.2,82,12
2,25,7.4,61,49.7
10,28.1,0,14,41.2
12.7,20,25.2,28.8,26.5
7,12.5,50.2,21.2,19.5
6.5,13.9,105,16.9,49
8,11.7,23,10,15.3
0.1,5,6.5,1.2,32
5.1,4.5,1.7,210.9,46.7
10.9,14.4,10,15,12.1
7.3,7.5,1.8,14.6,26.5
13.4,11.3,31.2,35.1,4.3
73.6,9,29,25.4,50
10,21.5,7.5,39,12
1.5,12,11.5,81.2,11.2
