NEMS-RHG,REGEN-EPRI,RIO-REPEAT,MARKAL-NETL,EPS-EI,GCAM-CGS
2.535150834,3.215542189,3.625308609,4.487139031,5.362086578,5.842698873
2.298960458,2.915962335,3.287552374,4.069089328,4.862521335,5.298356808
2.38726182,3.02796228,3.413824816,4.225380024,5.049287164,5.501862753
0.744869421,0.944779701,1.065175881,1.318395973,1.575470094,1.716681969
1.154391303,1.46421029,1.650799105,2.043237114,2.441648058,2.660496833
1.431488803,1.815676045,2.047053221,2.53369117,3.027735784,3.299116528
1.193134356,1.513351319,1.706202326,2.111811126,2.523593321,2.74978698
0.659308925,0.836256224,0.942822924,1.166956527,1.394501459,1.519492829
1.535527033,1.947636366,2.195829652,2.717835638,3.247786595,3.538890841
1.680661242,2.131722127,2.403374027,2.974718725,3.554759333,3.87337803
1.473793144,1.869334152,2.107549146,2.608568553,3.117213514,3.396614288
0.405347338,0.514135667,0.579653555,0.717452325,0.857348403,0.934193896
1.129944747,1.433202694,1.615840116,1.999967461,2.389941253,2.604155465
0.803587665,1.019256923,1.149143965,1.42232546,1.699664799,1.852008442
1.158295188,1.469161911,1.656381727,2.05014687,2.449905148,2.669494019
0.311800858,0.395482904,0.445880505,0.551877932,0.659488648,0.718599658
0.726685596,0.921715647,1.039172704,1.286211162,1.537009565,1.674774162
2.305509783,2.924269387,3.296918019,4.080681432,4.876373783,5.313450873
1.017352716,1.290392878,1.454831606,1.800683029,2.151798335,2.344667421
1.94198268,2.463177794,2.777068107,3.437249636,4.107479178,4.475639029
1.795106055,2.276881982,2.567032047,3.177282526,3.796821063,4.137136136
1.665007714,2.111867459,2.380989217,2.947012462,3.521650624,3.837301736
1.478872425,1.875776624,2.114812602,2.617558723,3.127956677,3.408320378
0.396632856,0.503082367,0.567191698,0.70202796,0.83891644,0.914109846
1.176060288,1.491694862,1.681786121,2.081590551,2.487480035,2.710436802
1.964564513,2.491820206,2.80936051,3.477218786,4.155241915,4.527682815
2.647613924,3.358188459,3.786132731,4.686195243,5.599956774,6.101889751
1.517968142,1.925364968,2.17072014,2.686756941,3.210647861,3.498423303
1.507584194,1.912194145,2.155870919,2.668377672,3.188684817,3.474491677
0.783848501,0.994220103,1.120916625,1.387387746,1.657914578,1.806516082
0.63282517,0.80266468,0.904950706,1.120081094,1.338485783,1.45845638
2.388579858,3.029634056,3.415709632,4.22771291,5.052074939,5.504900401
1.638412381,2.078134391,2.342957441,2.89993954,3.46539895,3.776008135
1.439233733,1.825499582,2.058128602,2.547399456,3.044117051,3.316966074
1.631374487,2.069207646,2.332893133,2.887482684,3.45051313,3.759788076
2.266641677,2.874969743,3.241335969,4.011886079,4.79416402,5.223872519
1.959071364,2.48485279,2.801505214,3.467496081,4.143623379,4.515022892
1.508651822,1.913548305,2.157397644,2.67026734,3.190942951,3.476952212
2.004092115,2.541956344,2.865885651,3.547181426,4.238846575,4.618781094
1.63016955,2.067679325,2.331170053,2.885349983,3.447964574,3.757011088
2.150556739,2.727729582,3.075332543,3.806419308,4.54863327,4.956334459
0.462220162,0.58627219,0.660982656,0.818115475,0.977639867,1.065267274
1.095601424,1.389642207,1.566728583,1.939180835,2.317301838,2.525005265
0.341499006,0.43315153,0.48834936,0.604442742,0.722303073,0.787044239
0.737065241,0.934881013,1.054015772,1.304582815,1.558963508,1.698695871
1.672015735,2.120756314,2.391010806,2.959416444,3.536473259,3.853452947
1.037800662,1.316328704,1.484072515,1.836875264,2.195047697,2.391793292
1.710665279,2.169778738,2.446280308,3.027824949,3.618220743,3.942527587
2.81916477,3.575780634,4.031453345,4.989834965,5.962803227,6.497258705
2.305957088,2.924836741,3.297557672,4.081473147,4.877319875,5.314481765
0.658627377,0.83539176,0.941848298,1.165750207,1.393059919,1.517922082
-0.033626878,-0.04265176,-0.048087005,-0.05951854,-0.071124065,-0.077499027
0.437132336,0.554451219,0.625106641,0.773710796,0.924576717,1.007447989
1.185106113,1.503168433,1.694721804,2.097601383,2.506612821,2.73128449
1.995219284,2.530702197,2.853197353,3.531476789,4.22007969,4.598332103
1.460122108,1.851994042,2.087999332,2.584371239,3.088297964,3.365106992
2.691002184,3.413221391,3.848178678,4.76299113,5.691727096,6.201885592
1.615776136,2.049422962,2.310587227,2.859874082,3.417521125,3.723838945
-0.121488902,-0.154094457,-0.173731187,-0.215031622,-0.256960653,-0.279992442
0.633034226,0.802929844,0.90524966,1.120451118,1.338927958,1.458938187
1.135200124,1.439868526,1.623355395,2.009269318,2.40105688,2.616267403
0.765562337,0.971026244,1.094767101,1.355021798,1.619237591,1.764372416
3.251307567,4.123903206,4.649424861,5.754714431,6.876826591,7.493207428
2.857132081,3.623937725,4.085747243,5.057035939,6.043107723,6.58476102
2.162314536,2.742642972,3.092146392,3.827230248,4.573502135,4.983432361
1.629169024,2.066410274,2.329739283,2.883579082,3.445848365,3.7547052
1.795911903,2.277904106,2.568184424,3.178708852,3.798525509,4.138993354
1.182214447,1.499500693,1.690586673,2.092483224,2.500496671,2.72462014
0.89260941,1.13217059,1.276446567,1.579891212,1.887954307,2.057174636
0.683347941,0.866746903,0.977199124,1.209504846,1.445346279,1.57489495
1.637131738,2.076510046,2.3411261,2.897672842,3.462690268,3.77305667
0.40104178,0.508674571,0.573496535,0.709831621,0.848241737,0.924270984
1.023279834,1.297910733,1.463307485,1.811173844,2.164334756,2.358327501
0.483171752,0.61284683,0.690943784,0.855199145,1.021954485,1.113553881
5.619950564,7.128249688,8.036624444,9.94713971,11.88673316,12.95215984
2.233543223,2.832988227,3.19400462,3.953302834,4.724157624,5.147591339
0.636584559,0.807433025,0.910326696,1.126735097,1.346437251,1.46712055
1.453553072,1.843661988,2.078605499,2.572744247,3.074403823,3.349967498
1.765874147,2.239804727,2.525229924,3.125542948,3.734992781,4.069766088
3.504121274,4.444567811,5.010952741,6.202186919,7.41155177,8.07586087
0.889084636,1.127699827,1.27140608,1.57365247,1.880499073,2.049051177
2.080565104,2.638953383,2.97524332,3.682536266,4.400594265,4.795026485
1.380154942,1.750565048,1.97364493,2.442831813,2.919159755,3.180808658
2.647458292,3.357991058,3.785910175,4.685919779,5.599627597,6.10153107
1.237419451,1.569521781,1.769530763,2.190194384,2.617260537,2.851849735
0.972751775,1.233821803,1.391051506,1.721740735,2.057463078,2.241876746
1.05412567,1.337035067,1.507417553,1.865770027,2.229576652,2.429417131
3.637797426,4.614120368,5.202111902,6.438789598,7.694289622,8.383940963
1.284550761,1.629302332,1.836929334,2.273615353,2.716947766,2.960472088
1.398595004,1.77395411,2.000014532,2.475470156,2.958162251,3.22330701
2.505080569,3.177401576,3.58230762,4.433915586,5.29848509,5.773396683
6.537386306,8.291909575,9.348573086,11.57097277,13.82719754,15.06655111
0.811805597,1.029680409,1.160895747,1.436870948,1.717046512,1.870948105
0.892540995,1.132083814,1.276348732,1.579770119,1.887809603,2.057016961
3.067438636,3.890686981,4.386489176,5.429272075,6.487926208,7.069449289
2.793804141,3.543613643,3.995187216,4.944947432,5.90916307,6.438810696
3.651594224,4.631619991,5.221841556,6.463209505,7.723471169,8.415738098
1.282880644,1.627183984,1.834541037,2.270659296,2.713415308,2.95662301
2.690838067,3.413013227,3.847943988,4.762700647,5.691379972,6.201507355
1.175223398,1.490633365,1.680589354,2.080109281,2.485709933,2.708508043
2.455907371,3.115031129,3.511989115,4.346880538,5.194479072,5.660068441
1.808195228,2.293484066,2.585749786,3.20044996,3.824505916,4.167302427
2.567968043,3.257166979,3.672237774,4.545224483,5.431498116,5.918331877
