2015 Observed,2030 Baseline,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Net Zero,2050 Net Zero Mandates
23.46,27.278,30.554,30.676,36.181,41.506,43.237
24.3,27.876,31.332,31.456,37.244,42.814,44.635
24.79,28.586,31.872,31.996,37.908,43.689,45.542
25.21,29.152,32.662,32.787,38.339,44.287,46.124
23.88,28.362,32.123,32.246,38.389,44.471,46.345
22.55,27.687,31.707,31.829,38.179,44.371,46.209
22.16,27.655,31.967,32.086,38.333,44.784,46.551
21.76,27.672,31.926,32.046,38.298,44.648,46.25
21.82,27.535,31.572,31.691,37.872,43.936,45.503
21.75,27.457,31.434,31.552,37.658,43.627,45.143
22.12,27.519,31.396,31.515,37.365,43.199,44.602
22.56,27.633,31.414,31.534,37.234,42.957,44.294
24.09,28.275,31.997,32.119,37.643,43.319,44.609
25.61,29.453,32.776,32.903,38.11,43.787,45.075
26.1,30.114,33.44,33.571,38.778,44.524,45.964
26.01,29.982,33.109,33.242,36.725,41.711,42.22
24.92,28.37,31.103,31.233,34.397,39.038,40.277
23.95,26.937,29.403,29.532,33.593,38.064,39.301
23.14,26.349,28.969,29.097,32.871,37.249,38.425
22.45,25.579,28.24,28.363,32.357,36.654,37.792
21.96,24.97,27.568,27.689,31.951,36.184,37.32
21.66,24.661,27.24,27.36,31.651,35.869,37.036
21.62,24.634,27.219,27.338,31.344,35.573,36.737
22.03,26.842,30.062,30.182,35.147,40.25,41.706
23.5,27.359,30.651,30.773,36.095,41.394,42.943
24.38,27.985,31.452,31.575,37.171,42.726,44.359
24.94,28.568,32.027,32.151,37.881,43.632,45.293
25.4,29.209,32.703,32.827,38.385,44.295,45.946
24.1,28.405,32.227,32.35,38.399,44.443,46.124
22.76,27.899,31.932,32.054,38.254,44.408,46.059
22.27,27.819,32.116,32.236,38.353,44.759,46.354
21.75,27.132,31.345,31.463,37.33,43.529,45.026
21.76,27.016,31.022,31.139,36.995,42.915,44.375
21.73,26.935,30.883,31,36.825,42.645,44.075
22.24,27.069,30.929,31.046,36.655,42.345,43.681
22.74,27.156,30.923,31.041,36.611,42.184,43.466
