2015 Observed,2030 Baseline,2030 Extended,2030 Net Zero,2050 Baseline,2050 Extended,2050 Net Zero
17.973,20.695,20.836,22.39,26.735,28.557,30.785
17.385,20.746,20.83,22.631,26.616,28.536,30.889
16.808,19.79,19.966,21.74,26.19,28.207,30.72
16.124,18.96,19.158,20.913,25.553,27.686,30.329
15.518,18.581,18.827,20.738,25.258,27.613,30.502
14.931,18.532,18.733,20.684,25.234,27.6,30.47
14.425,18.381,18.547,20.395,24.874,27.072,29.7
14.027,18.252,18.411,20.228,24.619,26.771,29.308
13.742,18.303,18.449,20.223,24.436,26.519,28.896
13.644,18.448,18.582,20.298,24.383,26.391,28.622
13.761,19.127,19.252,20.914,24.791,26.727,28.796
14.026,19.76,19.878,21.506,25.237,27.127,29.092
14.303,20.384,20.47,22.086,25.878,27.75,29.734
14.458,21.107,21.216,22.503,25.591,27.003,28.137
14.958,21.106,21.205,22.358,25.455,26.72,27.695
15.3,20.94,21.041,22.111,25.17,26.361,27.242
15.605,20.619,20.73,21.761,24.754,25.926,26.766
15.881,20.357,20.469,21.497,24.455,25.62,26.452
15.997,20.271,20.383,21.402,24.349,25.502,26.334
16.04,20.245,20.358,21.371,24.337,25.484,26.34
16.101,20.151,20.266,21.275,24.236,25.382,26.257
16.687,20.072,20.19,21.439,25.281,26.811,28.517
17.869,20.055,20.182,21.448,25.388,26.953,28.764
17.728,20.058,20.208,21.533,25.567,27.24,29.251
17.425,20.047,20.243,21.592,25.645,27.425,29.598
16.958,20.105,20.344,21.652,25.613,27.49,29.785
16.393,19.318,19.533,21.034,25.248,27.221,29.671
15.624,18.729,18.97,20.536,24.84,26.927,29.508
14.788,18.512,18.803,20.501,24.705,27.015,29.843
14.096,18.49,18.864,20.564,24.778,27.049,29.805
13.682,18.31,18.648,20.249,24.409,26.513,29.029
13.449,18.162,18.491,20.068,24.167,26.229,28.66
13.374,18.248,18.563,20.103,24.058,26.055,28.332
13.457,18.409,18.708,20.209,24.096,26.024,28.167
13.897,19.071,19.354,20.829,24.593,26.461,28.459
14.763,20.028,20.23,21.575,25.213,27.049,28.965
15.607,20.763,20.9,22.382,25.813,27.647,29.619
16.061,21.371,21.463,22.882,25.598,26.955,28.121
16.209,21.218,21.313,22.394,25.33,26.534,27.524
16.052,20.919,21.002,21.951,25.069,26.193,27.089
16.075,20.589,20.669,21.598,24.715,25.815,26.672
16.042,20.392,20.472,21.399,24.451,25.54,26.383
15.918,20.269,20.348,21.266,24.307,25.387,26.228
16.026,20.215,20.295,21.212,24.299,25.382,26.249
16.356,20.156,20.24,21.157,24.284,25.381,26.273
17.269,20.238,20.326,21.248,25.128,26.651,28.359
18.707,20.312,20.409,21.437,25.617,27.199,29.03
18.629,20.608,20.726,21.928,26.038,27.74,29.787
18.436,20.718,20.859,22.236,26.209,28.014,30.203
18.243,20.803,20.968,22.513,26.327,28.235,30.553
17.718,19.755,19.948,21.636,26.115,28.121,30.598
16.837,19.097,19.374,21.116,25.779,27.9,30.511
15.824,18.903,19.218,21.119,25.719,28.064,30.928
15.063,15.461,15.626,17.34,20.576,22.631,24.759
14.449,15.152,15.273,16.826,20.21,21.835,23.773
14.097,15.008,15.122,16.466,19.978,21.568,23.456
13.862,14.991,15.099,16.327,19.775,21.312,23.087
13.822,14.981,15.088,16.255,19.594,21.07,22.739
14.023,15.267,15.351,16.548,19.622,21.037,22.597
14.471,15.839,15.923,17.011,19.732,21.104,22.594
15.146,16.367,16.462,17.473,20.033,21.388,22.9
15.719,16.821,16.932,17.75,19.909,21.067,21.934
16.374,16.634,16.73,17.353,19.461,20.405,21.061
16.986,16.317,16.393,16.947,18.994,19.828,20.68
17.334,15.91,15.98,16.515,18.721,19.535,20.353
17.551,15.607,15.675,16.201,18.663,19.467,20.272
17.604,15.564,15.634,16.157,18.777,19.574,20.375
17.524,15.792,15.863,16.386,19.019,19.817,20.631
17.585,15.832,15.908,16.439,19.226,20.027,20.849
18.356,16.258,16.366,17.122,20.032,21.129,22.415
19.295,16.417,16.53,17.301,20.191,21.312,22.664
19.024,16.557,16.685,17.5,20.366,21.559,23.041
18.479,16.42,16.562,17.415,20.257,21.51,23.07
17.911,16.292,16.448,17.342,20.154,21.471,23.108
17.308,15.824,15.993,16.935,19.912,21.295,23.019
16.437,15.328,15.513,16.513,19.578,21.038,22.833
15.348,15.058,15.276,16.372,19.403,21.01,22.959
14.584,14.417,14.653,15.681,18.736,20.263,22.219
13.986,14.203,14.416,15.369,18.365,19.775,21.58
13.557,13.96,14.167,15.093,18.017,19.39,21.144
13.396,13.828,14.025,14.922,17.726,19.049,20.7
13.384,13.814,14,14.864,17.585,18.854,20.414
