r15,r20,r25,r30
384.3366441,285.3868442,205.9366399,149.5182105
413.1458989,275.7091114,186.7503052,131.6917761
391.3372698,270.5815324,193.9232456,144.5342119
281.8619727,106.0550686,60.50760516,42.49214218
345.6880604,170.5053523,93.77409142,57.26687561
330.0436064,190.1955528,116.2834141,76.68975433
251.4458779,151.2927408,96.92128643,66.75257683
163.1614498,89.250745,53.5573122,35.25299078
284.1124433,183.8438706,124.7346996,89.73443331
331.3369186,210.5888591,136.5243142,93.87393604
274.008681,177.8483925,119.7199015,84.39152951
94.19820397,55.30566667,32.92737758,20.49077615
278.3747854,151.7630951,91.78823654,61.24977673
244.3459176,105.0877779,65.27743493,47.15896699
390.9287044,161.9796385,94.09121374,65.65531358
191.2565918,59.09910545,25.32836317,13.23121154
273.075274,105.8055605,59.03048761,39.57573439
413.8720204,276.2774653,187.2823233,131.2037068
179.1060491,121.2772131,82.64210443,57.99638062
307.4519478,224.5432999,157.7521079,111.1744364
464.3756537,260.136565,145.8209525,85.39217672
376.1400171,218.3422897,135.252739,91.44444578
295.3388327,187.1390242,120.1325041,80.80823664
128.657005,60.20825079,32.21947841,18.88041779
258.0208948,150.7059969,95.53431725,65.31256606
331.4459542,229.5827808,159.5864866,115.2079935
396.4183193,296.8356691,215.0722979,158.0434958
464.4669197,220.0574534,123.308347,79.45450037
249.286357,178.5107771,122.4648329,84.48328462
190.5276945,98.71196814,63.67397326,47.01434309
147.6556669,86.63139003,51.40597057,31.63769246
462.1181453,300.1089823,194.0303131,130.0071141
475.0325051,229.57734,133.0923336,87.66054092
292.2452216,185.5930493,116.9125541,76.44274679
256.7865082,188.335725,132.5206279,93.47351898
378.5411969,261.5898099,184.1249698,133.8828783
248.4202476,203.0682929,159.1402644,125.0213289
208.1576127,164.3474014,122.551559,89.96707631
448.0808404,272.2578197,162.7974126,100.6472239
312.4821001,208.2298318,132.4227478,84.01273512
470.073127,289.9373603,174.6951001,107.9878353
188.4778032,69.60350776,37.54729925,24.54753137
172.757451,122.999768,88.99844255,66.21441432
146.3472717,53.76328518,27.740818,16.37763204
186.9570716,100.3472615,59.87365214,39.56608492
299.4662759,193.741932,135.8220181,101.1919409
337.1569313,154.8001558,84.30314218,53.06799959
375.8747103,215.8876373,138.9616172,97.43914262
390.2182928,304.3971211,229.0078019,173.9072018
431.6676065,279.7188492,187.3186589,131.2551604
237.0603075,107.0935289,53.50194831,29.56211062
68.60815234,5.729591682,-2.731595378,-4.219821005
160.6236152,67.66313343,35.50935249,21.46360489
221.8125576,138.7248371,96.26913223,71.44055614
330.1354756,230.4252393,162.0766503,117.7750215
432.4316629,206.5352485,118.609369,77.38781519
541.3970264,334.4399389,218.5968347,151.5463565
348.221459,208.9448043,131.2535348,87.98405223
-15.75073202,-12.65171621,-9.868847255,-7.763624174
158.2961591,88.09067743,51.42295275,31.90990222
248.344435,140.4195511,92.21514401,66.86103852
137.6562654,91.3315078,62.18854244,44.14445737
740.6541689,422.2458167,264.1118417,179.6326403
575.1097136,357.170007,232.0919815,159.4114353
486.5777191,292.3534533,175.6502154,111.4210459
538.3155343,246.6870688,132.3414726,82.19226392
432.3519318,250.6955539,145.8864135,88.33153868
240.1171197,146.3654968,96.034235,66.57550404
231.2765056,124.332067,72.50889381,45.94659771
245.1815943,105.0758036,55.51006158,34.22552672
284.5278653,196.1073749,132.9883038,91.563045
245.0520906,64.25256478,32.57762637,21.03259413
192.7910738,123.1914598,83.12357901,59.83563398
104.137733,62.80311142,39.24924929,26.18974969
718.335349,621.200184,456.5226337,308.3612885
503.6029071,302.2100198,181.4362997,112.9121393
160.2004014,92.12749428,51.71135514,29.298449
251.5640533,172.1440222,118.0757498,83.68626658
313.7455722,210.7248795,143.4463715,101.410116
464.2702052,362.0547771,284.6485311,228.4997247
268.8413725,135.3246295,72.22256762,41.50554177
431.9307322,274.5990932,169.0095047,105.4818188
311.6930728,176.8637064,112.1134362,78.113651
509.6764381,311.1394281,215.0596555,160.8458148
250.7430446,157.0378008,100.5186755,68.26989834
217.0345155,127.8025635,79.01905852,52.29460902
237.8395121,138.822077,85.62926343,55.71990104
680.3489359,449.9069894,295.5073791,198.7645293
221.7963784,151.2258127,104.3472696,74.56208714
234.6118014,163.142017,113.6113685,81.49629885
552.0276747,327.2336233,203.4939571,135.3409215
796.3671385,662.6552819,531.0482326,419.4626733
181.2152953,104.3816946,65.94499811,45.09500631
171.0285938,114.2943083,72.50333629,45.84644499
474.0816993,338.7049187,249.1757087,190.9399418
439.3399901,311.8124689,226.9476946,171.4672806
751.9201195,442.8208947,296.6281275,216.0215936
308.6293546,170.0480736,104.2116018,70.4950329
635.8987122,356.4200897,218.5835031,145.5312448
198.2297272,136.5332852,95.46633458,68.97983703
632.2864876,335.0391315,199.4994953,132.1382218
301.2416354,209.0783228,146.8842187,107.2873132
442.8989752,303.9001717,208.6024638,147.7489019
277.5019915,100.3976818,59.96667826,43.06147247
228.165632,116.3592804,69.49689053,46.30504293
922.9267025,434.2411469,249.7223441,165.8495863
184.3918808,78.21227225,38.62866083,21.32929713
229.879769,120.0113357,71.17928812,45.92163649
1184.96742,795.6345227,514.2724912,338.6421492
148.2296913,93.76866971,57.85645865,36.41263133
230.4891531,144.6385357,92.04521768,61.1268542
1369.192102,1055.968787,781.6084112,574.9877308
433.5524457,296.6217262,203.0468204,143.9859156
151.6925142,93.10714132,58.69320719,39.04183769
1341.083433,784.3897794,465.3940195,290.9623453
177.4084423,106.7058111,68.32862188,47.08187705
677.9892689,550.5418378,444.0594174,362.3359549
117.9149777,43.94735946,21.06708955,11.94824514
856.7284921,717.0723481,581.6312078,470.8498574
279.9371832,129.7296144,74.08970848,48.88261944
643.8883103,334.1993647,180.9742822,108.4892283
168.4839763,94.00148846,52.27330067,29.69230815
790.6325522,578.6770461,403.9470972,283.1588804
163.2371492,108.2931042,74.5878874,54.07815284
510.3867934,386.8079604,289.631156,221.05146
175.0034314,102.4588691,62.47682405,39.91379995
211.6284168,146.72158,101.4776226,71.95600963
551.5046849,362.1005144,238.5362259,162.7899946
905.2387836,571.4892075,367.109658,244.3273497
845.684644,694.0667391,532.988351,403.2064368
374.5275857,202.7103935,115.8375898,70.26862004
122.8662099,65.3789345,35.86372657,20.53405866
240.5883895,182.4331832,133.0442443,97.39426202
633.8551492,479.1743554,349.5771225,255.3429178
382.8501165,270.293592,198.4763089,152.6354983
751.2576785,614.4336501,487.0579506,384.684465
700.3071539,472.1851896,299.5987643,191.4677687
315.413745,209.8138372,144.7527322,104.5430923
318.0692377,130.0161565,74.76252512,50.47691835
422.1343926,328.837017,246.4881199,184.887742
326.8315864,160.7018902,94.62607565,62.02934467
87.41266755,53.56639574,32.49376678,19.81407139
245.4925176,136.919862,79.30295638,47.95754664
325.8324984,222.3533159,160.2605331,121.2042735
395.2063836,244.3807339,158.7350015,110.3015814
483.4531069,276.6618932,162.8356735,101.5832785
127.5879948,61.25284866,31.48416561,17.15314882
465.6998626,187.8218935,98.15395786,60.89410175
320.5354722,183.8234734,113.131544,75.82453591
156.8825578,85.98514406,46.79026352,26.0630472
242.7490372,168.7228756,115.3969853,80.7842809
202.9959722,119.1632108,74.53018637,49.58701657
183.9291289,113.5597053,74.79987544,52.04978689
826.1803166,725.2382837,581.8907083,453.6152252
269.1297693,145.4113581,93.62940248,68.88066976
357.1651215,233.9828126,156.4372708,109.4622275
214.8592204,132.8042083,89.95869441,65.92369368
573.5442544,406.3219692,271.6623769,180.3009674
586.2586337,424.6618805,305.1681929,225.4837
588.7065207,324.3469643,177.2432294,101.0306722
204.9649482,128.654569,79.9264193,50.38528117
317.5287042,222.8504834,160.7765011,121.2846332
352.2377918,260.561259,185.2250501,132.4241595
128.16063,87.52436388,58.65496003,40.50345532
566.3946486,316.341161,178.4034213,105.3629128
185.706996,112.8385593,72.53892954,49.26747855
283.8671481,180.9036001,119.6162168,83.32130345
249.8530223,164.7897755,107.5509133,72.23872271
311.0442513,211.6593467,142.0324352,97.74078324
165.6423329,71.81458912,39.91658516,25.89400157
188.7400335,126.6581871,83.81404724,56.45822282
172.9754316,92.87277717,58.37407782,41.124084
310.4604053,196.5526954,123.1249929,79.47968564
862.1791453,551.8204837,353.7965006,233.6392042
